Date,Industry_Vertical,Sub_Vertical,City,Invester_name,Investment_Type,Funding_Amount_in_cr,Startup_name,Year
2016-11-03,Consumer Internet,Online insurance Portal,Noida,Unilazer Ventures,Private Equity,80.0,Explara,2016
2016-11-04,Logistics,Last mile Delivery Network,Bangalore,Aavishkaar Venture Management,Private Equity,8.0,Appvirality,2016
2016-11-04,Technology,AI-based Software as a Service Solution provider,New Delhi,"Ameera Shah, Vivek Bhargava",Seed Funding Round,1.2,Istar Skill Development,2016
2016-11-05,E-commerce,Online ordering & Delivery of medicines,New Delhi,A M Sikander,Seed Funding Round,0.36,Skoov.Com,2016
2016-11-07,Consumer Internet,Online Car Sharing platform,Mumbai,"Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, SCM Holdings",Private Equity,24.0,Hitwicket,2016
2016-11-09,Consumer Internet,Online Job Portal,New Delhi,India Quotient,Private Equity,16.0,Cashkaro.Com,2016
2016-11-10,Consumer Internet,Golf Session Online Bookings platform,New Delhi,"YourNest Angel Fund, iSON",Private Equity,8.0,Taskbucks,2016
2016-11-14,Technology,Banking & Fintech Platform,Singapore,"Kalaari Capital, IDG Ventures India",Private Equity,24.0,Sensegiz,2016
2016-11-14,Technology,Tech driven Logistic & distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,16.0,Fourseven,2016
2016-11-15,Technology,Mobile Gaming portal,Bangalore,"SAIF Partners, IDG Ventures India",Private Equity,32.0,Caravan Craft,2016
2016-11-16,Technology,Cloud based\\xc2\\xa0 health monitoring platform,Bangalore,"RTP-HC, Wonder Ventures, Techstars Ventures & Others",Private Equity,40.0,Talkoot,2016
2016-11-17,E-commerce,Fashion eTailer,New Delhi,Times of India Group & Existing investors,Private Equity,108.0,Naaptol,2016
2016-11-17,Consumer Internet,Product Photography Mobile App,Mumbai,Quarizon,Seed Funding Round,1.18,S Chand,2016
2016-11-18,Finance,Insurance Marketplace for the Rural Sector,New Delhi,Omnivore Capital,Seed Funding Round,8.0,Pluss,2016
2016-11-21,Consumer Internet,"Online food, Grocery ordering & Delivery",Gurgaon,Devdeep Singh,Seed Funding Round,0.72,Qikpod,2016
2016-11-21,Technology,Cash Flow Management Solution for Businesses,Gurgaon,"Kae Capital, Khosla Impact",Seed Funding Round,5.2,Muvizz,2016
2016-11-22,Consumer Internet,Real Estate Portal,Mumbai,Softbank Group,Private Equity,40.0,Shopalyst,2016
2016-11-22,Consumer Internet,Short News Mobile App,Bangalore,"Vivek Bhargava, Ameera Shah",Seed Funding Round,1.18,Voylla,2016
2016-11-22,Technology,SaaS-based predictive analytics platform,Bangalore,Sequoia India,Private Equity,40.0,Rock N Shop,2016
2016-11-22,Consumer Internet,App based networking platform,Mumbai,Undisclosed multiple investors,Seed Funding Round,1.18,Sportzvillage,2016
2016-11-23,Consumer Internet,Cloud Telephony Platform,Bangalore,"Delta Partners, Sequoia India,\\xc2\\xa0 Mayfield, Blacksoil, Trifecta Capital",Private Equity,160.0,Welcome Cure,2016
2016-11-23,Technology,Bot Protection Solutions,Mumbai,"IDG Ventures, Axilor Ventures",Seed Funding Round,4.8,Schoolguru,2016
2016-11-28,Consumer Internet,proximity based\\xc2\\xa0 Rewards platform,Bangalore,Undisclosed Investor,Seed Funding Round,0.8,Gridle,2016
2016-11-28,E-commerce,B2B Wholesale Apparel Marketplace,Jaipur,"Manish Maheshwari, Contrarian Vriddhi Fund",Private Equity,16.0,Voodoo,2016
2016-11-29,Consumer Internet,Savings platform for Medical Expenses,New Delhi,"Prime Venture Partners, Kalaari Capital",Private Equity,24.0,Askmygift,2016
2016-11-30,E-commerce,Hyperlocal Shopping App,Bangalore,"Anand Sankeshwar, Yang Shu",Seed Funding Round,7.7,Citrus Payment,2016
2016-11-30,E-commerce,Ethnic Indian Fashion Marketplace,Bangalore,"Shekhar Sahu, Nitesh Pant",Seed Funding Round,1.2,Holidify,2016
2016-11-30,Technology,"AI, Machine learning Solutions",Bangalore,"Dileep Bhatt, Milind Chaudhary",Seed Funding Round,1.6,Opinio,2016
2016-11-30,Technology,AI-driven B2B marketing platform,Bangalore,Exfinity Venture Partners,Private Equity,16.0,Attune Technologies,2016
2016-11-30,Food & Beverages,Quick Service Restaurants,Noida,Quarizon,Seed Funding Round,1.74,Agentdesks,2016
2016-11-30,Technology,Engineering Interview facilitation platform,Pune,Krishna Rokhale,Seed Funding Round,0.8,White Owl Brewery,2016
2016-11-30,Consumer Internet,Online Math Learn,Vadodara,Menterra Social Impact Fund,Seed Funding Round,3.52,Mealhopper,2016
2016-11-30,Consumer Internet,Campus Social Networking App,Bangalore,SAIF Partners,Private Equity,4.0,Zenify.In,2016
2016-11-30,Consumer Internet,Online Car repair Marketplace,Mumbai,TVS Group,Seed Funding Round,4.0,Leaping Caravan,2016
2016-10-03,Consumer Internet,Airline Ticket Aggregator,Bangalore,Recruit Holdings,Private Equity,40.0,Qik Stay,2016
2016-10-03,E-commerce,Art & Craft Marketplace,Gurgaon,Viraj Tyagi & Others,Seed Funding Round,1.6,Flexing It,2016
2016-10-04,E-commerce,Online Gifting platform,Bangalore,Mahindra Holidays & Resorts India Ltd,Private Equity,3.6,Netmeds.Com,2016
2016-10-04,E-commerce,Online Gifting platform,Noida,"Naveen Arya, Tarun Joshi",Private Equity,16.0,Origa Leasing,2016
2016-10-04,Consumer Internet,Internet Service Provider,Hyderabad,"Xchange Investors NV, TransGlobal FZC",Private Equity,24.0,Zophop,2016
2016-10-04,Consumer Internet,Foreign Currency Payments Platform,Mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,\\xc2\\xa0 Smart Start Fund; Kunal Shah,\\xc2\\xa0 Sandeep Tandon, Vishal Gondal, & Others",Seed Funding Round,8.0,Tinyowl,2016
2016-10-04,Consumer Internet,Online food ordering platform,Gurgaon,"Mistletoe, M&S Partners",Private Equity,20.0,Toppr.Com,2016
2016-10-04,Consumer Internet,"Mobile Phone Theft, Damage Protection platform",Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,30.0,Kleeto,2016
2016-10-05,Technology,Mobile Health Technology Solutions,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,9.6,Zivame,2016
2016-10-06,Technology,Data Sciences Platform,Noida,Hyderabad Angels,Seed Funding Round,2.4,Jobspire,2016
2016-10-06,E-commerce,Used Furniture & Appliances Marketplace,Bangalore,"Helion Venture Partners, BeeNext",Private Equity,8.4,Clapsnslaps,2016
2016-10-07,Technology,Baby Monitoring Devices manufacturer,Bangalore,HAX Accelerator,Seed Funding Round,0.8,Blubox,2016
2016-10-07,Technology,Sports Training & Technology,Mumbai,"HDFC, Faering Capital, Elevate Sports",Private Equity,17.6,Roomcentral,2016
2016-10-07,Consumer Internet,Online Funds Raising Platform,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,120.0,Youthkiawaaz,2016
2016-10-10,E-commerce,Online Hair Extension etailer,New Delhi,undisclosed investor,Seed Funding Round,3.0,Mockbank,2016
2016-10-11,Consumer Internet,Internet-based TV streaming service provider,Bangalore,Emerald Media,Private Equity,400.0,Onlinetyari,2016
2016-10-11,Consumer Internet,Branded Camping location Aggregator,Gurgaon,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding Round,4.0,The/Nudge Foundation,2016
2016-10-13,E-commerce,online fashion brand store,Noida,"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private Equity,16.0,Canvasflip,2016
2016-10-13,Technology,waterless car washing solution,Ahmedabad,Virendra Patel,Seed Funding Round,3.6,Tea Trails,2016
2016-10-14,Consumer Internet,Online News portal,New Delhi,Undisclosed,Seed Funding Round,0.2,Chaipoint,2016
2016-10-14,Consumer Internet,API Platform,Bangalore,Nexus Venture Partners,Private Equity,56.0,Wedmegood.Com,2016
2016-10-14,Finance,Education Sector Lending,Hyderabad,Gray Matters Capital,Private Equity,48.0,Xstok,2016
2016-10-15,Consumer Internet,Vernacular content mobile app,Bangalore,"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,\\xc2\\xa0 Falcon Edge",Private Equity,200.0,Labstreet,2016
2016-10-15,Consumer Internet,Motorbike rental platform,Hyderabad,DSG Consumer Partners,Seed Funding Round,1.82,Portea Medical,2016
2016-10-15,Consumer Internet,Internet & Fresher Job platform,Mumbai,"Mayank Shah, Shreyans Shah",Seed Funding Round,8.0,Neotrade Analytics,2016
2016-10-17,Consumer Internet,App based Travel Discovery and Transactions platform,Gurgaon,Hemant Sahni,Seed Funding Round,2.4,Furdo,2016
2016-10-17,Others,equipment rental and leasing company,Mumbai,Bravia Capital,Private Equity,128.0,Loginext,2016
2016-10-18,Technology,3D Printing Solutions for Edu space,New Delhi,Newbie Promoters,Seed Funding Round,1.2,Korra,2016
2016-10-18,Technology,Solar Energy harnessing products marketplace,Noida,General Catalyst Partners,Private Equity,20.0,Quintype,2016
2016-10-19,Technology,Wearable Technology platform & devices,Mumbai,Next Orbit Ventures Fund,Private Equity,6.0,Zakoopi,2016
2016-10-21,Consumer Internet,Hyperlocal\\xc2\\xa0 Communication Mobile app,Mumbai,Janak Jain,Seed Funding Round,2.4,Wizrocket,2016
2016-10-25,E-commerce,Invoice discounting marketplace,Bangalore,Sequoia Capital,Private Equity,48.0,Doormint,2016
2016-10-25,Consumer Internet,Credit Report Info platform,Mumbai,India Quotient,Seed Funding Round,4.0,Sunday Realty Solutions,2016
2016-10-25,Technology,Android utility app suite creator,Gurgaon,Lalit Vase,Seed Funding Round,0.8,Carlxe2X80X99S Jr,2016
2016-10-26,Consumer Internet,Social Media Marketing platform,New Delhi,Undisclosed investor,Seed Funding Round,8.0,Easyrewardz,2016
2016-10-26,E-commerce,Online Tea Etailer,Ahmedabad,"hooting Starts Sports LLP, Franchise India Brands",Private Equity,8.0,Mypoolin,2016
2016-10-27,Consumer Internet,Doctor Consulting platform,Bangalore,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd",Private Equity,5.6,Nearbuy (Previouslyxc2Xa0 Groupon India),2016
2016-10-29,Technology,LiFi based wireless communication provider,New Delhi,Kalaari Capital,Seed Funding Round,0.8,Allygrow Technologies,2016
2016-10-29,Technology,Electric Bike Manufacturer,Chennai,Kalaari Capital,Seed Funding Round,0.8,Infogain,2016
2016-10-29,Technology,Clinical and Wearable Diagnostic Product creator,Bangalore,Kalaari Capital,Seed Funding Round,0.8,Etaout,2016
2016-10-30,Technology,Business intelligence and data science Startup,Bangalore,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",Private Equity,6.0,Ifmr Holdings,2016
2016-10-31,Consumer Internet,Talent Discovery & Audition management platform,Mumbai,Karanpal Singh & Others,Seed Funding Round,8.0,Edu4Share,2016
2016-09-01,Technology,Personal Digital Assistant,Kolkata,Accel Partners,Private Equity,53.6,Intelligencenode,2016
2016-09-06,Consumer Internet,Online Gift Vouchers platform,Mumbai,Undisclosed Investors,Seed Funding Round,4.0,Epoise,2016
2016-09-07,Consumer Internet,Online Doctor Consulting platform,New Delhi,Eros Labs,Seed Funding Round,4.0,Revx,2016
2016-09-07,Education,Online Certification programs,Bangalore,InnoVen Capital India,Private Equity,48.0,Belita,2016
2016-09-07,E-commerce,Study Material Marketplace,Gurgaon,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed Funding Round,2.52,Foodtalkindia,2016
2016-09-08,Education,Online Test Preparation platform,Bangalore,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd",Seed Funding Round,5.36,Rollmafia,2016
2016-09-08,E-commerce,Online Construction Materials Marketplace,Bangalore,Idein Ventures,Seed Funding Round,1.6,Reverie,2016
2016-09-10,Consumer Internet,Social Health Networking Platform,New Delhi,Dr. Rameshwar Kumar,Seed Funding Round,1.2,Bankbazaar,2016
2016-09-10,Consumer Internet,Online health & Wellness platform,Noida,"havya Sharma, Amit Nagar",Seed Funding Round,3.6,Gozoomo,2016
2016-09-12,Consumer Internet,Personal Styling Online platform,Mumbai,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed Funding Round,3.58,Paper Boat,2016
2016-09-12,Technology,Online Advertising Solutions,Pune,Fork Media,Private Equity,24.0,Wudstay,2016
2016-09-12,Consumer Internet,Beauty Salon Aggregator,Noida,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed Funding Round,2.4,Axtria,2016
2016-09-13,Consumer Internet,Online Deals & Discount platform,Gurgaon,BlackSoil Capital Pvt. Ltd,Private Equity,20.0,Lybrate,2016
2016-09-14,Consumer Internet,Jobs & Skill Validation platform,Bangalore,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed Funding Round,1.2,Boxmyspace,2016
2016-09-15,Consumer Internet,Employee engagement platform,Gurgaon,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,\\xc2\\xa0 Vivek Bhargava, Rahul Singh, Ambarish Gupta",Seed Funding Round,1.6,Wowexpress,2016
2016-09-15,Consumer Internet,on-demand logistics service provider,Bangalore,Nexus Venture Partners,Private Equity,12.0,Omnikart,2016
2016-09-16,Consumer Internet,City based News Aggregator App,Hyderabad,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding Round,0.8,Joy By Nature,2016
2016-09-16,Consumer Internet,Online Doctor Consultations,Gurgaon,RoundGlass Partners,Private Equity,8.0,Degustibus,2016
2016-09-19,Consumer Internet,Couple Socialization App,Bangalore,Accel Partners,Seed Funding Round,6.0,Myonsto,2016
2016-09-20,E-commerce,Online gadget Repair Services Marketplace,Hyderabad,LetsVenture,Seed Funding Round,4.0,Flipkart.Com,2016
2016-09-21,Consumer Internet,shared living and working spaces platform,Bangalore,Undisclosed Investors,Seed Funding Round,8.0,Truehb,2016
2016-09-21,E-commerce,Online Book etailer,Ahmedabad,Lothal Angel Ventures,Seed Funding Round,2.38,Pipa Bella,2016
2016-09-22,Consumer Internet,On-Demand Gadget repair services platform,New Delhi,Carpediem Capital,Private Equity,48.0,Droom.In,2016
2016-09-22,Technology,Mobile Game Publisher for Indian audience,Bangalore,Rebright Partners,Seed Funding Round,3.4,Lazylad,2016
2016-09-22,Technology,Mobile App Development company,Bangalore,Undisclosed investors,Seed Funding Round,8.0,Prothom,2016
2016-09-22,Technology,SAAS application for Pharma Industry,Pune,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,5.96,Bona Vita,2016
2016-09-23,Technology,CRM SAAS Platform,Chennai,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,48.0,Veeba Foods,2016
2016-09-28,E-commerce,Mens Grooming products etailer,Ahmedabad,Venture Catalysts,Seed Funding Round,4.0,Propstack,2016
2016-09-28,Consumer Internet,Out-Station Taxi Rental Platform,Indore,Swastika Co Ltd,Seed Funding Round,8.0,Arkin Net,2016
2016-09-28,Technology,Cloud Based Data Protection Solution,Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,408.0,Icustomadeit,2016
2016-09-29,E-commerce,Local Commerce Platform,New Delhi,Now Capital,Seed Funding Round,1.44,Zopper,2016
2016-09-29,Consumer Internet,Bitcoin Wallet,Bangalore,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,12.0,Applied Solar Technologies,2016
2016-09-30,Technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,152.0,Teritree,2016
2016-08-01,E-commerce,Online Pharmacy & Health Marketplace,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,96.0,La Renon,2016
2016-08-01,Consumer Internet,Gadget Repair Services Platform,Pune,Undisclosed HNIs,Seed Funding Round,2.2,Couponraja,2016
2016-08-01,Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,Syska LED group,Private Equity,20.0,Hansa Customer Equity,2016
2016-08-02,Consumer Internet,Online Job and Career Platform for Women,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,14.4,Fundsindia.Com,2016
2016-08-02,Food & Beverages,Retail Food & Snack Offline centres,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding Round,8.0,Elong,2016
2016-08-03,Consumer Internet,Waste Recycle Management platform,Gurgaon,Brand Capital,Seed Funding Round,1.8,Goodservice,2016
2016-08-03,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Paul Roy,Seed Funding Round,7.12,Edukart,2016
2016-08-04,Consumer Internet,Food Delivery Platform,Bangalore,Existing Investors,Seed Funding Round,4.0,Indix,2016
2016-08-06,Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding Round,0.22,Fusion Microfinance,2016
2016-08-08,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd,Seed Funding Round,0.32,Getmypeon,2016
2016-08-08,E-commerce,"Original Art, Digital Prints etailer",Gurgaon,Undisclosed Investors,Seed Funding Round,3.56,Adwyze,2016
2016-08-11,Consumer Internet,Online ticket booking platform,Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,56.0,Seed Schools,2016
2016-08-11,Consumer Internet,Online Tutoring Service provider,Mumbai,1Crowd (through crowdfunding),Seed Funding Round,1.67,Fintellix,2016
2016-08-12,Consumer Internet,peer-to-peer lending platform,Gurgaon,Brand Capital,Private Equity,12.0,Grandopinion,2016
2016-08-12,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,124.8,Zapstitch,2016
2016-08-12,Technology,Data Analytics & Audience Management Platform,Gurgaon,Undisclosed Investors,Seed Funding Round,4.0,Plancess,2016
2016-08-16,Consumer Internet,Mobile Messaging App,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,1400.0,Cooey,2016
2016-08-16,E-commerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,4.0,Meetuniv,2016
2016-08-16,E-commerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,Brand Capital,Private Equity,12.0,Crown-It,2016
2016-08-16,Technology,Online & Mobile learning for kids,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding Round,2.0,Trucksfirst,2016
2016-08-17,Logistics,Online Logistics Marketplace,Indore,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding Round,3.0,Eveningflavors,2016
2016-08-17,Technology,Mobile security solutions,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,5.4,Urbanpro,2016
2016-08-19,Consumer Internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity,160.0,Thekarrier,2016
2016-08-19,Technology,Aadhar based Document Signing platform,Bangalore,Rainmatter,Private Equity,3.0,Bluegape,2016
2016-08-22,Health Care,"Organic,\\xc2\\xa0 Natural\\xc2\\xa0 Food substitute manufacturer",Mumbai,Torrent Group,Private Equity,296.0,Pricejugaad,2016
2016-08-23,Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding Round,0.8,Olacabs,2016
2016-08-23,Technology,Artificial Intelligence based marketing platform,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding Round,1.6,Zopnow,2016
2016-08-24,Consumer Internet,Free Interactive education platform,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,\\xc2\\xa0 Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,8.0,Commeasure,2016
2016-08-24,Technology,Clinical Imaging Solution Provider,Chandigarh,Kalaari Capital,Seed Funding Round,0.8,Localoye,2016
2016-08-24,E-commerce,Home Furnishing rental marketplace,Bangalore,Kalaari Capital,Seed Funding Round,4.0,Robosoft,2016
2016-08-24,E-commerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvani,Seed Funding Round,4.0,1Mg (Healthkartplus),2016
2016-08-24,Education,Edutainment platform,Noida,Michael and Susan Dell Foundation,Private Equity,7.2,Sulekha.Com,2016
2016-08-24,E-commerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,24.0,Eat.Shop.Love,2016
2016-08-25,Health Care,Health and Fitness Centres,Bangalore,CureFit,Private Equity,24.0,Torqus,2016
2016-08-26,Consumer Internet,Photo and Video Sharing App,Gurgaon,Instalabs,Seed Funding Round,4.0,Naaptol.Com,2016
2016-08-26,Consumer Internet,Digital Wallet platform,Gurgaon,Net1 UEPS Technologies Inc,Private Equity,320.0,Reglobe,2016
2016-08-26,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding Round,4.4,Tradelab,2016
2016-08-29,Consumer Internet,hyperlocal Logistics services provider,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,56.0,Vserv,2016
2016-08-29,Consumer Internet,Self-Publishing books platform,Chennai,Undisclosed HNI investors,Private Equity,8.0,Customfurnish.Com,2016
2016-08-29,Consumer Internet,Online portal for Home Design,Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,120.0,Mapmygenome,2016
2016-08-30,Technology,Assessment & Learning Platform,Gurgaon,Rajasthan Angel Investor Network & Others,Seed Funding Round,1.19,Crowdfire (Formerly Justunfollow),2016
2016-08-30,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding Round,0.83,Bite Club,2016
2016-08-31,E-commerce,Online fashion rental platform,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,42.4,Diabetomics,2016
2016-07-01,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding Round,4.0,Drivestream,2016
2016-07-02,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Private Equity,5.6,Graphic India,2016
2016-07-04,E-commerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding Round,1.6,Mahindra First Choice,2016
2016-07-04,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,16.0,Cubito,2016
2016-07-04,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,128.0,Fxkart.Com,2016
2016-07-05,Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Angel Fund\\xc2\\xa0 & Others,Private Equity,8.0,Roposo.Com,2016
2016-07-05,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,656.0,Teewe,2016
2016-07-06,E-commerce,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Private Equity,5.92,Chargein,2016
2016-07-06,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding Round,2.0,Yogurt Labs,2016
2016-07-06,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding Round,2.38,Limeroad.Com,2016
2016-07-07,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund",Private Equity,16.0,Team Indus,2016
2016-07-07,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,8.0,Arohan Financial Services,2016
2016-07-11,Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity,28.0,Chloroplast Foods,2016
2016-07-11,E-commerce,Unboxed & refurbished electronic products marketplace,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,24.0,Dealwithus,2016
2016-07-12,Technology,SAAS based Service Agreement Management,Gurgaon,Sequoia Capital,Private Equity,98.0,Cleversharks,2016
2016-07-13,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Private Equity,40.0,Culture Machine,2016
2016-07-13,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding Round,4.8,Newshunt,2016
2016-07-13,Consumer Internet,Online Furniture Renting Platform,Bangalore,"Accel Partners, IDG Ventures India",Private Equity,40.0,Nimble Wireless,2016
2016-07-14,E-commerce,Personalized precious Jewellery etailer,Coimbatore,Keiretsu Forum,Seed Funding Round,3.6,Newsinshorts,2016
2016-07-14,Technology,M-Commerce Solutions for Retail Stores,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,8.56,Itraveller.Com,2016
2016-07-15,Technology,Enterprise Work Management Software,Pune,SRI Capital,Seed Funding Round,8.0,Springleap,2016
2016-07-15,Consumer Internet,Online Investment Banking platform,Bangalore,undisclosed investors,Private Equity,16.0,Klip.In,2016
2016-07-15,Consumer Internet,Public Transport Mobile App,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,48.0,Caravan Craft Retail,2016
2016-07-18,Consumer Internet,Online Learning Platform,Pune,SRI Capital,Seed Funding Round,5.2,Clonect Solutions,2016
2016-07-18,Consumer Internet,Online Food Ordering platform,New Delhi,SRI Capital,Seed Funding Round,5.2,Momoe,2016
2016-07-18,E-commerce,Jewellery Etailer,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,240.0,Violetstreet,2016
2016-07-19,Technology,Cloud-Based Enterprise Solutions,New Delhi,Star India Pvt. Ltd,Private Equity,80.0,Numbermall,2016
2016-07-19,Consumer Internet,nLoans Comparison platform\\n\\n\\n\\n     (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,120.0,Tookitaki,2016
2016-07-19,Technology,Payroll & Benefits Software solutions,Bangalore,Prime Venture Partners,Private Equity,8.0,Frankly,2016
2016-07-19,Consumer Internet,Mobile Apps SaaS Platform,Gurgaon,Green House Ventures Accelerator,Seed Funding Round,2.0,Stridalyzer,2016
2016-07-20,Consumer Internet,Online Tax Filing Portal,Jaipur,Undisclosed Investors,Private Equity,8.0,Commonfloor,2016
2016-07-20,Logistics,Tech-focused cargo transport startup,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding Round,4.76,Mydreamstore,2016
2016-07-21,Consumer Internet,Online Car rental booking platform,New Delhi,Nihon Kotsu Co,Private Equity,8.0,Refiral,2016
2016-07-21,Consumer Internet,Inter-City Taxi Booking platform,Bangalore,Indian Angel Network,Seed Funding Round,4.76,Hostel Dunia,2016
2016-06-02,Technology,"smart, energy efficient home appliance manufacturer",Mumbai,Parampara Capital,Private Equity,8.0,Caratlane.Com,2016
2016-06-02,Consumer Internet,Bus Aggregator Mobile app,Mumbai,Rainmaker Ventures,Private Equity,8.0,Grabhouse.Com,2016
2016-06-03,Consumer Internet,Truck Aggregator & Booking platform,Chennai,Undisclosed Investor,Seed Funding Round,0.6,Graphene,2016
2016-06-03,Health Care,Treatment Development for Antibiotic-resistant diseases,New Delhi,Romulus Capital,Private Equity,16.0,Couponmachine.In,2016
